id,company,location,industry,total_laid_off,percentage_laid_off,date,stage,stage_group,funds_raised,country,source,date_added,year,month
1379,Bullhorn,Boston,Sales,140,0.09,2023-10-19,Acquired,Mature/Exit,32.00,United States,https://www.bizjournals.com/boston/news/2023/10/20/bullhorn-cuts-downturn.html,2023-10-20,2023,2023-10
1380,LegalZoom,Austin,Legal,100,,2023-10-19,Post-IPO,Mature/Exit,951.00,United States,https://www.bizjournals.com/austin/news/2023/10/19/legal-zoom-layoffs-williamson-county-warn-notice.html,2023-10-20,2023,2023-10
1381,StellarAlgo,"Calgary, Non-U.S.",Data,21,0.28,2023-10-19,Series A,Early,16.00,Canada,https://betakit.com/cooler-financing-environment-leads-stellaralgo-to-restructure-and-make-layoffs/,2023-10-20,2023,2023-10
1382,ManoMano,"Paris, Non-U.S.",Retail,230,0.25,2023-10-18,Series F,Late,705.00,France,https://www.lesechos.fr/industrie-services/conso-distribution/face-a-la-deprime-du-bricolage-manomano-reduit-ses-effectifs-dun-quart-1987873,2023-10-18,2023,2023-10
1383,Google,SF Bay Area,Consumer,40,,2023-10-18,Post-IPO,Mature/Exit,26.00,United States,https://www.cnbc.com/2023/10/18/google-cuts-dozens-of-jobs-in-news-division-.html,2023-10-19,2023,2023-10
1384,WeTransfer,"Amsterdam, Non-U.S.",Other,35,0.10,2023-10-18,Series A,Early,64.00,Netherlands,https://fd.nl/tech-en-innovatie/1493394/wetransfer-schrapt-10-van-de-banen,2023-10-26,2023,2023-10
1385,Plume,Denver,Healthcare,24,,2023-10-18,Series B,Early,38.00,United States,https://techcrunch.com/2023/10/18/trans-healthcare-startup-plume-lays-off-dozens-of-workers/,2023-10-19,2023,2023-10
1386,Belora Paris,"Gurugram, Non-U.S.",Retail,,1.00,2023-10-18,Seed,Early,,India,https://entrackr.com/2023/10/exclusive-surge-backed-belora-cosmetics-may-shut-down/,2023-12-04,2023,2023-10
1387,Made Renovation,SF Bay Area,Construction,,1.00,2023-10-18,Seed,Early,9.00,United States,https://techcrunch.com/2023/10/18/made-renovation-which-intrigued-then-infuriated-its-customers-is-shutting-down/,2023-10-19,2023,2023-10
1388,Volta Trucks,"Stockholm, Non-U.S.",Transportation,,1.00,2023-10-18,Series C,Growth,391.00,Sweden,https://voltatrucks.com/press-and-media,2023-10-23,2023,2023-10
1389,Expedia,Seattle,Travel,100,,2023-10-17,Post-IPO,Mature/Exit,3300.00,United States,https://skift.com/2023/10/17/expedia-laid-off-around-100-employees-in-second-round-of-job-cuts/,2023-10-17,2023,2023-10
1390,Waymo,SF Bay Area,Transportation,,,2023-10-17,Subsidiary,Mature/Exit,5500.00,United States,https://sfstandard.com/2023/10/17/tech-layoffs-waymo-san-francisco-robotaxi/,2023-10-17,2023,2023-10
1391,LinkedIn,SF Bay Area,Recruiting,660,0.03,2023-10-16,Acquired,Mature/Exit,154.00,United States,https://techcrunch.com/2023/10/16/linkedin-layoffs-2/,2023-10-16,2023,2023-10
1392,CityMall,"Gurugram, Non-U.S.",Retail,90,,2023-10-16,Series C,Growth,112.00,India,https://inc42.com/buzz/exclusive-norwest-backed-social-commerce-startup-citymall-fires-90-employees/,2023-10-17,2023,2023-10
1393,C2FO,Kansas City,Finance,80,0.03,2023-10-16,Series H,Late,537.00,United States,https://www.bizjournals.com/kansascity/news/2022/12/09/c2fo-layoff-recession-efficiency-profitability.html,2023-10-20,2023,2023-10
1394,Kayak / OpenTable,Stamford,Travel,80,,2023-10-16,Acquired,Mature/Exit,229.00,United States,https://skift.com/blog/kayak-and-opentable-laid-off-80-employees/,2023-10-17,2023,2023-10
1395,Bandcamp,SF Bay Area,Other,58,0.50,2023-10-16,Acquired,Mature/Exit,,United States,https://www.sfgate.com/tech/article/bandcamp-layoffs-oakland-songtradr-epic-18429463.php,2023-10-17,2023,2023-10
1396,Stack Overflow,New York City,Recruiting,,0.28,2023-10-16,Acquired,Mature/Exit,153.00,United States,https://www.theverge.com/2023/10/16/23919004/stack-overflow-layoff-ai-profitability,2023-10-16,2023,2023-10
1397,PokerStars,"Leeds, Non-U.S.",Consumer,,,2023-10-15,Acquired,Mature/Exit,,United Kingdom,https://sigma.world/news/flutters-restructuring-of-pokerstars-division-leads-to-job-losses/,2023-10-17,2023,2023-10
1398,Adda247,"Gurugram, Non-U.S.",Education,300,,2023-10-14,Series B,Early,61.00,India,https://entrackr.com/2023/10/exclusive-edtech-startup-adda247-fires-300-employees/,2023-10-15,2023,2023-10
1399,Flexport,SF Bay Area,Logistics,,0.20,2023-10-13,Series E,Growth,2400.00,United States,https://www.cnbc.com/2023/10/12/flexport-is-laying-off-20percent-of-its-workforce.html,2023-10-12,2023,2023-10
1400,Uno Health,New York City,Healthcare,,,2023-10-13,Unknown,Unknown,,United States,https://docs.google.com/spreadsheets/d/1uCA0BFMYjCFYeoC7ilv5FvA-oCPGHLPKJZ8xjql_K54/edit#gid=0,2023-10-17,2023,2023-10
1401,Qualcomm,San Diego,Hardware,1258,0.02,2023-10-12,Post-IPO,Mature/Exit,,United States,https://www.cnbc.com/2023/10/12/qualcomm-to-cut-roughly-1258-jobs-in-california.html,2023-10-13,2023,2023-10
1402,Lending Club,SF Bay Area,Finance,172,0.14,2023-10-12,Post-IPO,Mature/Exit,392.00,United States,https://www.bloomberg.com/news/articles/2023-10-12/lendingclub-plans-to-cut-172-jobs-reports-preliminary-results?embedded-checkout=true,2023-10-13,2023,2023-10
1403,MariaDB,SF Bay Area,Data,84,0.28,2023-10-12,Post-IPO,Mature/Exit,272.00,United States,https://www.sec.gov/ix?doc=/Archives/edgar/data/0001929589/000155837023016381/mrdb-20231012x8k.htm,2023-10-12,2023,2023-10
1404,Deepgram,SF Bay Area,AI,20,0.20,2023-10-11,Series B,Early,86.00,United States,https://www.theinformation.com/articles/ai-startup-lays-off-workers-again-in-fresh-sign-of-sector-belt-tightening,2023-10-12,2023,2023-10
1405,Acronis,"Zurich, Non-U.S.",Security,,,2023-10-11,Private Equity,Mature/Exit,658.00,Switzerland,https://www.acronis.com/en-us/blog/posts/putting-the-focus-on-accelerating-our-partners-growth/,2023-10-12,2023,2023-10
1406,Neon,"Sao Paulo, Non-U.S.",Finance,180,,2023-10-10,Series D,Growth,727.00,Brazil,https://valorinveste.globo.com/mercados/renda-variavel/empresas/noticia/2023/10/10/banco-neon-promove-demissao-em-massa-e-corta-cerca-de-200-funcionarios.ghtml,2024-02-16,2023,2023-10
1407,Stitch Fix,Dallas,Retail,558,,2023-10-09,Post-IPO,Mature/Exit,79.00,United States,https://www.retaildive.com/news/stitch-fix-layoffs-dallas-distribution-center-closures/695985/,2023-10-15,2023,2023-10
1408,Carbon Health,SF Bay Area,Healthcare,114,0.05,2023-10-09,Series D,Growth,522.00,United States,https://www.beckershospitalreview.com/digital-health/carbon-health-lays-off-114-employees.html,2023-10-25,2023,2023-10
1409,Blue Origin,Seattle,Aerospace,40,,2023-10-09,Unknown,Unknown,167.00,United States,https://www.theinformation.com/briefings/blue-origin-lays-off-around-40-people,2023-10-09,2023,2023-10
1410,Braid,SF Bay Area,Finance,,1.00,2023-10-09,Unknown,Unknown,,United States,https://techcrunch.com/2023/10/09/consumer-payments-startup-braid-shuts-down-cites-struggles-with-leveraging-third-party-software/,2023-10-10,2023,2023-10
1411,Product Hunt,Unknown,Consumer,,0.60,2023-10-09,Acquired,Mature/Exit,,United States,https://techcrunch.com/2023/10/19/product-hunt-cleans-house-with-layoffs-impacting-60-of-staff/,2023-10-15,2023,2023-10
1412,VTrips,Jacksonville,Travel,75,0.09,2023-10-07,Private Equity,Mature/Exit,,United States,https://skift.com/2023/10/07/a-trimmed-down-vtrips-laid-off-9-of-its-employees/,2023-12-22,2023,2023-10
1413,Juniper Networks,SF Bay Area,Hardware,440,0.04,2023-10-06,Post-IPO,Mature/Exit,39.00,United States,https://www.lightreading.com/finance/juniper-networks-to-layoff-440-employees-at-a-cost-of-59m,2024-01-09,2023,2023-10
1414,InvestCloud,Los Angeles,Finance,80,0.05,2023-10-06,Private Equity,Mature/Exit,54.00,United States,https://citywire.com/ria/news/investcloud-lays-off-5-of-staff/a2427557,2023-10-06,2023,2023-10
1415,Brave,SF Bay Area,Consumer,,0.09,2023-10-06,Series B,Early,42.00,United States,https://techcrunch.com/2023/10/06/brave-lays-off-9-of-its-workforce/,2023-10-07,2023,2023-10
1416,Dash,New York City,Finance,,1.00,2023-10-06,Unknown,Unknown,86.00,United States,https://weetracker.com/2023/10/06/dash-african-fintech-scandal/,2023-10-08,2023,2023-10
1417,Shift,SF Bay Area,Transportation,,1.00,2023-10-06,Post-IPO,Mature/Exit,504.00,United States,https://www.marketwatch.com/story/shift-technologies-files-for-bankruptcy-amid-wind-down-33602dbf,2023-10-08,2023,2023-10
1418,Yuga Labs,Miami,Crypto,,,2023-10-06,Unknown,Unknown,450.00,United States,https://decrypt.co/200455/bored-ape-yacht-club-nft-creator-yuga-labs-confirms-layoffs,2023-10-06,2023,2023-10
1419,Enovix,SF Bay Area,Energy,185,,2023-10-05,Post-IPO,Mature/Exit,516.00,United States,https://www.theinformation.com/articles/the-electric-enovix-lays-off-185-engineers-and-shifts-most-of-its-operations-to-malaysia,2023-10-06,2023,2023-10
1420,Bizongo,"Mumbai, Non-U.S.",Retail,50,,2023-10-05,Series E,Growth,315.00,India,https://inc42.com/buzz/a-day-after-50-mn-fundraise-bizongo-lays-off-50-employees/,2023-10-06,2023,2023-10
1421,SchoolMint,SF Bay Area,Education,29,0.14,2023-10-05,Acquired,Mature/Exit,8.00,United States,https://www.businessinsider.com/schoolmint-layoffs-edtech-school-choice-slowdown-2023-10,2023-10-06,2023,2023-10
1422,SeekOut,Seattle,Recruiting,16,0.07,2023-10-05,Series C,Growth,,United States,https://www.claytoncountyregister.com/news2/seekout-lays-off-7-of-staff-in-restructuring-but-plans-to-grow-headcount-this-year/539529/,2023-10-06,2023,2023-10
1423,Arrival,"London, Non-U.S.",Transportation,,0.25,2023-10-05,Post-IPO,Mature/Exit,629.00,United Kingdom,https://techcrunch.com/2023/10/10/cash-strapped-ev-maker-arrival-lays-off-yet-more-workers/,2023-10-11,2023,2023-10
1424,Ledger,"Paris, Non-U.S.",Crypto,,0.12,2023-10-05,Series C,Growth,577.00,France,https://www.bloomberg.com/news/articles/2023-10-05/french-crypto-wallet-maker-ledger-lays-off-12-of-staff,2023-10-06,2023,2023-10
1425,Qualtrics,Salt Lake City,Other,780,0.14,2023-10-04,Acquired,Mature/Exit,400.00,United States,https://www.geekwire.com/2023/qualtrics-cuts-780-jobs-about-14-of-workforce-citing-complexity-from-rapid-hiring/,2023-10-04,2023,2023-10
1426,Hopper,"Montreal, Non-U.S.",Travel,250,0.30,2023-10-04,Unknown,Unknown,730.00,Canada,https://skift.com/2023/10/04/hopper-cuts-30-of-staff-in-bid-to-get-profitable/,2023-10-04,2023,2023-10
1427,Bird,Los Angeles,Transportation,,,2023-10-04,Post-IPO,Mature/Exit,916.00,United States,https://techcrunch.com/2023/10/04/bird-lays-off-staff-after-spin-acquisition-to-reduce-redundancies/,2023-10-04,2023,2023-10
1428,Block,SF Bay Area,Finance,,,2023-10-04,Post-IPO,Mature/Exit,150.00,United States,https://www.afr.com/technology/afterpay-s-block-begins-layoffs-after-stock-crashes-20231004-p5e9pe,2023-10-04,2023,2023-10
1429,Meta,SF Bay Area,Consumer,,,2023-10-04,Post-IPO,Mature/Exit,26000.00,United States,https://www.reuters.com/technology/meta-lay-off-employees-metaverse-silicon-unit-wednesday-2023-10-03/,2023-10-04,2023,2023-10
1430,Dare,"London, Non-U.S.",Energy,,,2023-10-03,Unknown,Unknown,,United Kingdom,https://www.linkedin.com/posts/wearedare_activity-7114953772254011392-4EY6/,2023-10-08,2023,2023-10
1431,Sendoso,SF Bay Area,Marketing,,,2023-10-03,Series C,Growth,152.00,United States,https://www.businessinsider.com/softbank-backed-startup-sendoso-axed-headcount-fourth-time-16-months-2023-10,2023-10-04,2023,2023-10
1432,Twitch,SF Bay Area,Consumer,,,2023-10-03,Acquired,Mature/Exit,35.00,United States,https://www.gamesindustry.biz/twitch-makes-another-round-of-layoffs,2023-10-04,2023,2023-10
1433,Chainalysis,New York City,Crypto,150,0.15,2023-10-02,Series F,Late,536.00,United States,https://www.forbes.com/sites/stevenehrlich/2023/10/02/chainalysis-idling-150-employees-as-chill-of-crypto-winter-persists/?sh=5e9464256bc8,2023-10-04,2023,2023-10
1434,Synapse,SF Bay Area,Finance,86,0.40,2023-10-02,Series B,Early,50.00,United States,https://techcrunch.com/2023/10/06/a16z-backed-fintech-synapse-lays-off-40-of-its-staff/,2023-10-06,2023,2023-10
1435,Chia Network,SF Bay Area,Crypto,26,0.37,2023-10-02,Series D,Growth,70.00,United States,https://www.coindesk.com/policy/2023/10/02/chia-network-lays-off-third-of-its-staff-as-loss-of-banker-delayed-going-public/,2023-10-04,2023,2023-10
1436,IronNet,Washington D.C.,Security,,1.00,2023-10-02,Post-IPO,Mature/Exit,428.00,United States,https://techcrunch.com/2023/10/02/ironnet-founded-by-former-nsa-director-shuts-down-and-lays-off-staff/,2023-10-04,2023,2023-10
1437,Sono Motors,"Munich, Non-U.S.",Transportation,,,2023-10-02,Post-IPO,Mature/Exit,127.00,Germany,https://www.linkedin.com/feed/update/urn:li:activity:7114544303233740800/,2023-10-02,2023,2023-10
1438,Cowbell,SF Bay Area,Finance,28,0.12,2023-09-29,Series B,Early,123.00,United States,https://cowbell.insure/blog/letter-from-the-ceo/,2023-10-02,2023,2023-09
1439,N26,"Berlin, Non-U.S.",Finance,14,,2023-09-29,Series E,Growth,1700.00,Germany,https://financefwd.com/de/n26-sparkurs/,2023-09-29,2023,2023-09
1440,Andgo,"Saskatoon, Non-U.S.",HR,9,,2023-09-29,Series A,Early,5.00,Canada,https://betakit.com/saskatoon-software-startups-vendasta-7shifts-andgo-systems-make-layoffs/,2023-09-29,2023,2023-09
1441,Vendasta,"Saskatoon, Non-U.S.",Marketing,,,2023-09-29,Series D,Growth,178.00,Canada,https://betakit.com/saskatoon-software-startups-vendasta-7shifts-andgo-systems-make-layoffs/,2023-09-29,2023,2023-09
1442,Epic Games,Raleigh,Consumer,870,0.16,2023-09-28,Unknown,Unknown,6400.00,United States,https://techcrunch.com/2023/09/28/fortnite-maker-epic-games-is-laying-off-16-of-its-workforce/,2023-09-28,2023,2023-09
1443,Lululemon Studio,New York City,Fitness,120,,2023-09-28,Acquired,Mature/Exit,75.00,United States,https://www.businessinsider.com/lululemon-lays-off-workers-discontinues-mirror-amid-peloton-deal-2023-9,2023-09-29,2023,2023-09
1444,2U,Washington D.C.,Education,,,2023-09-28,Post-IPO,Mature/Exit,426.00,United States,https://2u.com/latest/organizational-changes-2u/,2023-09-29,2023,2023-09
1445,Fit Analytics,"Berlin, Non-U.S.",Retail,,1.00,2023-09-28,Acquired,Mature/Exit,,Unknown,https://www.businessinsider.de/gruenderszene/technologie/nach-uebernahme-snap-kuendigt-allen-mitarbeitern-von-berliner-ki-startup/,2023-09-29,2023,2023-09
1446,Snap,Los Angeles,Consumer,170,,2023-09-27,Post-IPO,Mature/Exit,4900.00,United States,https://newsroom.snap.com/ar-enterprise-strategic-review,2023-09-28,2023,2023-09
1447,Fi.Money,"Bengaluru, Non-U.S.",Finance,30,0.10,2023-09-27,Series C,Growth,137.00,India,https://entrackr.com/2023/09/neobank-fi-lays-off-10-of-workforce/,2023-09-28,2023,2023-09
1448,Dunzo,"Bengaluru, Non-U.S.",Food,150,0.30,2023-09-26,Unknown,Unknown,458.00,India,https://www.entrepreneur.com/en-in/news-and-trends/dunzo-announces-fresh-round-of-layoffs/459709,2023-09-27,2023,2023-09
1449,Flexe,Seattle,Logistics,131,0.33,2023-09-26,Series D,Growth,263.00,United States,https://www.geekwire.com/2023/seattle-warehousing-startup-flexe-lays-off-33-of-workforce-amid-freight-industry-slowdown/,2023-09-27,2023,2023-09
1450,Talkdesk,SF Bay Area,Support,,,2023-09-26,Series D,Growth,497.00,United States,https://techcrunch.com/2023/09/26/talkdesk-conducts-third-round-of-layoffs-in-less-than-14-months/,2023-09-27,2023,2023-09
1451,Lucid Software,Salt Lake City,Other,75,0.07,2023-09-25,Series E,Growth,170.00,United States,https://lucid.co/blog/a-message-to-lucid-employees,2023-09-25,2023,2023-09
1452,Eat Just,SF Bay Area,Food,40,,2023-09-22,Unknown,Unknown,465.00,United States,https://news.bloomberglaw.com/daily-labor-report/vegan-egg-maker-eat-just-cuts-jobs-after-raising-money-1,2023-10-02,2023,2023-09
1453,Appsmith,SF Bay Area,Unknown,35,0.25,2023-09-22,Series B,Early,51.00,United States,https://inc42.com/buzz/exclusive-insight-partners-backed-appsmith-lays-off-25-of-its-workforce/,2023-09-24,2023,2023-09
1454,Roblox,New York City,Consumer,30,,2023-09-22,Post-IPO,Mature/Exit,857.00,United States,https://techcrunch.com/2023/09/21/roblox-cuts-30-on-talent-acquisition-team-as-hiring-slows/,2023-09-22,2023,2023-09
1455,Foodpanda,"Singapore, Non-U.S.",Food,,,2023-09-22,Acquired,Mature/Exit,749.00,Singapore,https://www.cnbc.com/2023/09/22/foodpanda-confirms-talks-to-sell-part-of-its-asia-business-layoffs.html,2023-09-24,2023,2023-09
1456,Recast,"Edinburgh, Non-U.S.",Media,,1.00,2023-09-22,Series A,Early,14.00,United Kingdom,https://www.linkedin.com/posts/recasttv_were-very-sad-to-share-the-news-that-despite-activity-7110960509750796288-hqzt/,2023-09-24,2023,2023-09
1457,DealShare,"Bengaluru, Non-U.S.",Retail,130,,2023-09-21,Series E,Growth,390.00,India,https://yourstory.com/2023/09/dealshare-shuts-b2b-business-lays-off-employees,2023-09-24,2023,2023-09
1458,Merative,"Dublin, Non-U.S.",Healthcare,100,,2023-09-21,Acquired,Mature/Exit,,Ireland,https://www.irishexaminer.com/business/companies/arid-41230633.html,2023-09-24,2023,2023-09
1459,Robinhood,SF Bay Area,Finance,,,2023-09-21,Post-IPO,Mature/Exit,5600.00,United States,https://www.businessinsider.com/robinhood-layoffs-reorganization-credit-cards-shrinking-user-base-insiders-say-2023-9,2023-09-24,2023,2023-09
1460,Akudo,"Bengaluru, Non-U.S.",Finance,,1.00,2023-09-20,Seed,Early,4.00,India,https://entrackr.com/2023/09/exclusive-y-combinator-backed-akudo-to-shut-down-ops/,2023-12-04,2023,2023-09
1461,Outreach,Seattle,Sales,,0.12,2023-09-20,Series G,Late,489.00,United States,https://www.geekwire.com/2023/more-layoffs-at-outreach-seattle-sales-software-startup-cuts-12-of-staff/,2023-09-22,2023,2023-09
1462,Truss Works,SF Bay Area,Real Estate,,,2023-09-20,Unknown,Unknown,,United States,Internal memo,2023-09-25,2023,2023-09
1463,Nowadays,SF Bay Area,Food,,1.00,2023-09-18,Seed,Early,10.00,United States,https://www.linkedin.com/posts/max-elder_hi-friends-with-a-heart-full-of-gratitude-activity-7107774956486230016-IKOz/,2023-10-02,2023,2023-09
1464,Cisco,SF Bay Area,Infrastructure,350,,2023-09-17,Post-IPO,Mature/Exit,2.00,United States,https://www.marketwatch.com/story/cisco-to-cut-350-jobs-in-latest-round-of-layoffs-f9084451,2023-09-20,2023,2023-09
1465,Hooray Foods,SF Bay Area,Food,,1.00,2023-09-17,Seed,Early,7.00,United States,https://www.bizjournals.com/sanfrancisco/news/2023/09/18/plant-bacon-hooray-foods-alternative-protein.html,2023-09-21,2023,2023-09
1466,Sage Therapeutics copy,Boston,Healthcare,290,,2023-09-15,Post-IPO,Mature/Exit,438.00,United States,https://www.bizjournals.com/boston/news/2023/09/15/sage-therapeutics-cambridge-layoffs.html,2023-09-21,2023,2023-09
1467,7shifts,"Saskatoon, Non-U.S.",Food,30,0.07,2023-09-15,Series C,Growth,131.00,Canada,https://www.linkedin.com/feed/update/urn:li:activity:7108084382132801536/,2023-09-21,2023,2023-09
1468,Velocity,"Bengaluru, Non-U.S.",Finance,,0.14,2023-09-15,Series A,Early,30.00,India,https://inc42.com/buzz/exclusive-revenue-based-financing-platform-velocity-lays-off-around-14-workforce/,2023-09-20,2023,2023-09
1469,Airtable,SF Bay Area,Product,237,0.27,2023-09-14,Series F,Late,1400.00,United States,https://www.forbes.com/sites/stevenbertoni/2023/09/14/unicorn-startup-airtable-lays-off-27-of-firm-shifts-focus-to-big-clients/?sh=171151534589,2023-09-14,2023,2023-09
1470,Project44,Chicago,Logistics,116,,2023-09-14,Unknown,Unknown,817.00,United States,https://www.freightwaves.com/news/freighttech-industry-isnt-what-it-was-a-year-ago,2023-09-20,2023,2023-09
1471,VideoAmp,Los Angeles,Marketing,40,0.10,2023-09-14,Series F,Late,456.00,United States,https://www.axios.com/2023/09/14/videoamp-layoffs,2023-09-20,2023,2023-09
1472,R3,New York City,Crypto,,0.20,2023-09-14,Series A,Early,112.00,United States,https://www.bloomberg.com/news/articles/2023-09-14/blockchain-startup-r3-trims-fifth-of-jobs-in-cost-cutting-drive#xj4y7vzkg,2023-09-14,2023,2023-09
1473,Google,SF Bay Area,Consumer,75,,2023-09-13,Post-IPO,Mature/Exit,26.00,United States,https://www.eastbaytimes.com/2023/10/31/google-tech-job-cut-layoff-bay-area-economy-office-lease-alphabet/,2023-09-13,2023,2023-09
1474,Akili Labs,Boston,Healthcare,,0.40,2023-09-13,Post-IPO,Mature/Exit,301.00,United States,https://www.bizjournals.com/boston/news/2023/09/13/akili-interactive-layoffs-september-2023-otc.html,2023-09-14,2023,2023-09
1475,Evolve,Denver,Travel,175,0.20,2023-09-12,Series F,Late,224.00,United States,https://skift.com/2023/09/13/property-manager-evolve-lays-off-20-of-its-workforce/amp/,2023-09-14,2023,2023-09
1476,Binance.US,SF Bay Area,Crypto,100,0.33,2023-09-12,Subsidiary,Mature/Exit,,United States,https://www.bloomberg.com/news/articles/2023-09-12/binance-us-cuts-100-positions-as-crackdown-erodes-crypto-business#xj4y7vzkg,2023-09-13,2023,2023-09
1477,Paper,"Montreal, Non-U.S.",Education,87,0.03,2023-09-12,Series D,Growth,389.00,Canada,https://paper.co/inside-paper/a-message-from-paper-founders-0,2023-09-14,2023,2023-09
1478,Homeday,"Berlin, Non-U.S.",Real Estate,40,0.20,2023-09-12,Unknown,Unknown,71.00,Germany,https://www.businessinsider.de/gruenderszene/business/mcmakler-rivale-homeday-verkauft-gruender-und-viele-mitarbeiter-weg/,2023-09-13,2023,2023-09
1479,At-Bay,SF Bay Area,Security,27,0.09,2023-09-12,Unknown,Unknown,296.00,United States,https://www.calcalistech.com/ctechnews/article/sypw6110a3,2023-09-06,2023,2023-09
1480,Eurora,"Tallinn, Non-U.S.",Other,111,,2023-09-11,Series A,Early,42.00,Estonia,https://www.aripaev.ee/uudised/2023/09/11/maksuvolga-jaanud-idufirma-eurora-koondab-ule-100-tootaja,2023-09-11,2023,2023-09
1481,Chargebee,SF Bay Area,Finance,100,0.10,2023-09-11,Series H,Late,468.00,United States,https://inc42.com/buzz/tiger-global-backed-chargebee-fires-10-workforce-in-2nd-round-of-layoffs/,2023-09-11,2023,2023-09
1482,Divvy Homes,SF Bay Area,Real Estate,94,,2023-09-11,Series B,Early,180.00,United States,https://techcrunch.com/2023/09/11/divvy-homes-goes-from-2b-valuation-to-third-layoff-in-a-year/,2023-09-09,2023,2023-09
1483,Grabango,SF Bay Area,Food,34,0.40,2023-09-11,Unknown,Unknown,94.00,United States,https://docs.google.com/spreadsheets/d/1WvO3p93hUJjOCJHn4Ig3tu-nbPfGpJfiEURsY5zBRWI/edit#gid=827597978,2023-09-13,2023,2023-09
1484,Bonterra,Austin,Other,,,2023-09-11,Unknown,Unknown,,United States,https://campaignsandelections.com/industry-news/staff-shake-ups-at-two-big-democratic-tech-companies/,2023-09-21,2023,2023-09
1485,Mollie,"Amsterdam, Non-U.S.",Finance,,,2023-09-11,Series C,Growth,928.00,Netherlands,https://nltimes.nl/2023/09/11/payment-service-mollie-announces-first-reorganization-years-unbridled-growth,2023-09-11,2023,2023-09
1486,Oyster,Charlotte,HR,,,2023-09-11,Series C,Growth,224.00,United States,https://oysterhr.notion.site/A-message-from-Oyster-s-CEO-Tony-Jamous-4f56b1d14252420885edffe23b194857,2023-09-13,2023,2023-09
1487,ChargePoint,SF Bay Area,Manufacturing,,0.10,2023-09-08,Unknown,Unknown,1400.00,United States,https://investorplace.com/2023/09/chargepoint-layoffs-2023-what-to-know-about-the-latest-chpt-job-cuts/,2023-09-08,2023,2023-09
1488,Sensor Tower,SF Bay Area,Marketing,,,2023-09-08,Private Equity,Mature/Exit,46.00,United States,https://techcrunch.com/2023/09/08/market-intelligence-firm-sensor-tower-conducts-layoffs-several-execs-out/,2023-09-09,2023,2023-09
1489,Drift,Boston,Marketing,100,0.25,2023-09-07,Acquired,Mature/Exit,107.00,United States,https://www.bizjournals.com/boston/news/2023/09/07/drift-second-round-layoffs.html,2023-09-09,2023,2023-09
1490,Hijra,"Jakarta, Non-U.S.",Finance,,,2023-09-07,Unknown,Unknown,67.00,Indonesia,https://www.techinasia.com/indonesian-shariah-fintech-firm-hijra-lays-employees,2023-09-08,2023,2023-09
1491,Roku,SF Bay Area,Media,360,0.10,2023-09-06,Post-IPO,Mature/Exit,208.00,United States,https://www.cnbc.com/2023/09/06/roku-to-lay-off-10percent-of-workforce-stock-jumps.html,2023-09-06,2023,2023-09
1492,ForeScout,"Tel Aviv, Non-U.S.",Security,40,,2023-09-06,Acquired,Mature/Exit,125.00,Israel,https://www.calcalistech.com/ctechnews/article/sjdyqira3,2023-09-09,2023,2023-09
1493,Better.com,New York City,Real Estate,,,2023-09-06,Unknown,Unknown,905.00,United States,https://www.businessinsider.com/mortgage-startup-better-cut-jobs-after-spac-merger-stock-debut-2023-9,2023-09-24,2023,2023-09
1494,Blue Origin,Seattle,Aerospace,,,2023-09-06,Unknown,Unknown,167.00,United States,https://www.geekwire.com/2023/rare-layoffs-blue-origin-hr/,2023-09-08,2023,2023-09
1495,iSpecimen,Boston,Healthcare,,0.20,2023-09-06,Post-IPO,Mature/Exit,31.00,United States,https://seekingalpha.com/news/4009713-ispecimen-to-lay-off-20-of-its-employees-as-it-seeks-profitability,2023-09-09,2023,2023-09
1531,Rivos,SF Bay Area,Hardware,24,0.06,2023-08-23,Unknown,Unknown,,United States,https://www.theinformation.com/articles/chip-startup-sued-by-apple-has-struggled-to-raise-capital,2023-11-10,2023,2023-08
1496,MaxMilhas,"Belo Horizonte, Non-U.S.",Travel,82,0.18,2023-09-05,Unknown,Unknown,,Brazil,https://g1.globo.com/mg/minas-gerais/noticia/2023/09/05/maxmilhas-do-grupo-da-123-milhas-anuncia-corte-de-18percent-dos-funcionarios.ghtml,2023-09-06,2023,2023-09
1497,Absci,Portland,Healthcare,30,0.15,2023-09-05,Post-IPO,Mature/Exit,238.00,United States,https://www.geekwire.com/2023/biotech-company-absci-lays-off-30-employees-about-15-of-staff/,2023-09-07,2023,2023-09
1498,Hodinkee,New York City,Retail,24,0.20,2023-09-05,Seed,Early,40.00,United States,"https://ww.fashionnetwork.com/news/Lvmh-backed-luxury-watch-site-hodinkee-cuts-a-fifth-of-jobs,1552691.html",2023-09-06,2023,2023-09
1499,Talent.com,"Montreal, Non-U.S.",Recruiting,,,2023-09-05,Series B,Early,150.00,Canada,https://aimgroup.com/2023/09/05/talent-com-staff-use-linkedin-to-announce-more-layoffs/,2023-09-07,2023,2023-09
1500,mPharma,"Accra, Non-U.S.",Healthcare,150,,2023-09-04,Series D,Growth,90.00,Ghana,https://techcabal.com/2023/09/04/exclusive-mpharma-lays-off-150-employees-due-to-tightening-macroenomic-conditions/,2023-09-07,2023,2023-09
